            configname    selected        comp_n(Na)    formation_energy    hull_dist(ALL,comp)
    SCEL1_1_1_1_0_0_0/0           0        3.00000000         -0.38397995             0.10227235
    SCEL1_1_1_1_0_0_0/1           0        3.00000000         0.07521753              0.56146983
    SCEL1_1_1_1_0_0_0/10          0        2.00000000         1.30623921              1.31238091
    SCEL1_1_1_1_0_0_0/11          0        4.00000000         -0.96586292             0.00049999
    SCEL1_1_1_1_0_0_0/12          0        4.00000000         -0.84543498             0.12092793
    SCEL1_1_1_1_0_0_0/13          0        4.00000000         -0.88251849             0.08384442
    SCEL1_1_1_1_0_0_0/14          0        4.00000000         -0.53981447             0.42654844
    SCEL1_1_1_1_0_0_0/15          0        4.00000000         -0.57664228             0.38972063
    SCEL1_1_1_1_0_0_0/16          0        4.00000000         -0.14724187             0.81912104
    SCEL1_1_1_1_0_0_0/17          0        4.00000000         -0.17709405             0.78926886
    SCEL1_1_1_1_0_0_0/18          0        4.00000000         -0.10128994             0.86507297
    SCEL1_1_1_1_0_0_0/19          0        5.00000000         -0.90834429             0.49498394
    SCEL1_1_1_1_0_0_0/2           0        3.00000000         0.22630298              0.71255528
    SCEL1_1_1_1_0_0_0/20          0        5.00000000         -1.32336654             0.07996169
    SCEL1_1_1_1_0_0_0/21          0        5.00000000         -1.27504588             0.12828235
    SCEL1_1_1_1_0_0_0/22          0        5.00000000         -1.21577298             0.18755525
    SCEL1_1_1_1_0_0_0/23          0        5.00000000         -0.98755079             0.41577744
    SCEL1_1_1_1_0_0_0/24          0        5.00000000         -0.83911934             0.56420889
    SCEL1_1_1_1_0_0_0/25          0        6.00000000         -1.82153033             0.01876322
    SCEL1_1_1_1_0_0_0/26          0        6.00000000         -1.57665641             0.26363715
    SCEL1_1_1_1_0_0_0/27          0        6.00000000         -1.83974532             0.00054823
    SCEL1_1_1_1_0_0_0/28          0        6.00000000         -1.45953471             0.38075885
    SCEL1_1_1_1_0_0_0/29          0        8.00000000         0.00000000              0.00000000
    SCEL1_1_1_1_0_0_0/3           0        3.00000000         0.32973052              0.81598282
    SCEL1_1_1_1_0_0_0/30          0        7.00000000         -0.91163145             0.00942565
    SCEL1_1_1_1_0_0_0/31          0        7.00000000         -0.74439108             0.17666602
    SCEL1_1_1_1_0_0_0/4           0        3.00000000         0.58172277              1.06797507
    SCEL1_1_1_1_0_0_0/5           0        3.00000000         0.60691235              1.09316465
    SCEL1_1_1_1_0_0_0/6           0        2.00000000         -0.00000000             0.00614170
    SCEL1_1_1_1_0_0_0/7           0        2.00000000         0.75799470              0.76413640
    SCEL1_1_1_1_0_0_0/8           0        2.00000000         1.12508955              1.13123125
    SCEL1_1_1_1_0_0_0/9           0        2.00000000         1.32172549              1.32786719
    SCEL2_1_2_1_0_0_0/0           0        2.00000000         -0.00614170             0.00000000
    SCEL2_1_2_1_0_0_0/1           0        2.00000000         0.37415307              0.38029477
    SCEL2_1_2_1_0_0_0/10          0        2.00000000         0.78499168              0.79113338
    SCEL2_1_2_1_0_0_0/100         0        2.50000000         0.22828529              0.47448229
    SCEL2_1_2_1_0_0_0/101         0        2.50000000         0.04621064              0.29240764
    SCEL2_1_2_1_0_0_0/102         0        2.50000000         0.12630944              0.37250645
    SCEL2_1_2_1_0_0_0/103         0        2.50000000         -0.17571568             0.07048132
    SCEL2_1_2_1_0_0_0/104         0        2.50000000         0.42189196              0.66808896
    SCEL2_1_2_1_0_0_0/105         0        2.50000000         0.48303659              0.72923359
    SCEL2_1_2_1_0_0_0/106         0        2.50000000         0.48403850              0.73023551
    SCEL2_1_2_1_0_0_0/107         0        3.00000000         -0.36059077             0.12566154
    SCEL2_1_2_1_0_0_0/108         0        3.00000000         -0.36951353             0.11673877
    SCEL2_1_2_1_0_0_0/109         0        3.00000000         -0.38143931             0.10481299
    SCEL2_1_2_1_0_0_0/11          0        2.00000000         0.69876606              0.70490776
    SCEL2_1_2_1_0_0_0/110         0        3.00000000         -0.17807483             0.30817747
    SCEL2_1_2_1_0_0_0/111         0        3.00000000         -0.15278890             0.33346341
    SCEL2_1_2_1_0_0_0/112         0        3.00000000         -0.15155425             0.33469805
    SCEL2_1_2_1_0_0_0/113         0        3.00000000         -0.14629593             0.33995638
